product_name,product_name_es,energy-kcal_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,nova_group,nutrition_grades,food_groups_tags
Aceite de oliva viegen extra clásico,Aceite de oliva viegen extra clásico,,,,,,2,unknown,"['en:fats-and-sauces', 'en:fats']"
Oreo Original,Oreo Original,480.555555555556,2.77777777777778,69.4444444444444,19.4444444444444,2.77777777777778,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Arroz Diana,Arroz Diana,338.461538461538,7.69230769230769,80,0,3.07692307692308,1,b,"['en:cereals-and-potatoes', 'en:cereals']"
Oreo Original,Oreo Original,472.222222222222,2.77777777777778,69.4444444444444,19.4444444444444,2.77777777777778,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Galletas con salvado y miel,Galletas con salvado y miel,381.481481481481,8.88888888888889,66.6666666666667,10.7407407407407,4.44444444444444,,c,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Agua Manantial,Agua Manantial,0,0,0,0,0,1,a,"['en:beverages', 'en:unsweetened-beverages']"
Tostadas de maíz,Tostadas de maíz,360.714285714286,7.14285714285714,85.7142857142857,0,0,1,c,"['en:cereals-and-potatoes', 'en:bread']"
Queso Reducido en Grasa Latti,Queso Reducido en Grasa Latti,233.333333333333,24.6666666666667,1.66666666666667,14.3333333333333,0,3,c,"['en:milk-and-dairy-products', 'en:cheese']"
Maní Horneado,Maní Horneado,616.666666666667,25.6666666666667,19.3333333333333,50,9.33,,b,"['en:salty-snacks', 'en:nuts']"
mermelada de frutos rojos,mermelada de frutos rojos,73,0.6,22,0,2.1,4,b,"['en:sugary-snacks', 'en:sweets']"
jamón pietran,jamón pietran,116.666666666667,14.3,9.05,2.62,,,a,"['en:fish-meat-eggs', 'en:processed-meat']"
Yogurt Griego,Yogurt Griego,77.3333333333333,8,4.53333333333333,2.93333333333333,0,,unknown,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Ghee,Ghee,889,0,0,98,0,2,e,"['en:fats-and-sauces', 'en:fats']"
Hatsu Amarillo,Hatsu Amarillo,0,0,0,0,0,4,c,"['en:beverages', 'en:artificially-sweetened-beverages']"
Bebida De Almendras,Bebida De Almendras,22.0833333333333,1,1.125,1.5,0,4,c,"['en:beverages', 'en:plant-based-milk-substitutes']"
Chocolate Bar,,583,11,47,39,2.5,,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
,,,,,,,,unknown,[]
Queso Crema,,273,5.5,2.1,27,0,,e,"['en:milk-and-dairy-products', 'en:cheese']"
Nuthos mezcla divertida,Mezcla Divertida (Frutos Secos),543.333333333333,18.6666666666667,40,36.6666666666667,11,,unknown,[]
,,,,,,,,unknown,[]
RITZ Sandwich sabor a queso,RITZ Sandwich sabor a queso,491,5.5,61,25,0.9,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Latti Crema de Leche,Latti Crema de Leche,213.333333333333,2,2.66666666666667,21.3333333333333,0,4,d,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Kola Granulada Tarrito Rojo,Kola Granulada Tarrito Rojo,0,0,0,0,,,not-applicable,[]
ácido hialurónico,,,,,,,,unknown,[]
Whole Milk,,60,3.2,4.8,3.1,,,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
De la Cuesta Yogurt Griego Natural Sin Dulce,De la Cuesta Yogurt Griego Natural Sin Dulce,98.75,6.25,5.1875,5.875,0,1,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Consciente Mix Cacao de Origen y Pretzels,Consciente Mix Cacao de Origen y Pretzels,552,20,37,38,8.8,4,c,[]
Aceite de Oliva Medalla de Oro,Aceite de Oliva Medalla de Oro,,,,,,,unknown,"['en:fats-and-sauces', 'en:fats']"
PARFAIT,,129,5.9,17,4.9,5.9,,unknown,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Margarina Gustosita,,603,,,67,,2,unknown,"['en:fats-and-sauces', 'en:fats', 'en:vegetable-margarines']"
Turrones De Granola,Turrones De Granola,496,20,39,34,14,3,a,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
crema para manos hidratante,,,,,,,,unknown,[]
protector solar,,,,,,,,unknown,[]
Arroz Diana premium,Arroz Blanco Premium,345,7.3,,0.8,1.8,,b,"['en:cereals-and-potatoes', 'en:cereals']"
más carilla de arcilla roja,,,,,,,,unknown,[]
,,,,,,,,unknown,[]
Lenguas,Lenguas,373.684210526316,2.63157894736842,84.2105263157895,3.15789473684211,0,,unknown,[]
Atún En Aceite,Atún En Aceite,196.666666666667,28.3333333333333,0,9.33333333333333,,,unknown,[]
Leche Entera Super Cremosa,,63,3.8,3.8,3.6,0,,c,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
lubriden,,,,,,,,unknown,[]
Spaguetti,,350,12.5,72.5,1.25,2.5,,unknown,"['en:cereals-and-potatoes', 'en:cereals']"
Pepsi,Pepsi,20,0,4.9,0,0,4,c,"['en:beverages', 'en:sweetened-beverages']"
Cereal Granola de Frutos Rojos,Cereal Granola de Frutos Rojos,,9,80,2.7,6.7,4,unknown,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
,,,,,,,,unknown,"['en:cereals-and-potatoes', 'en:cereals']"
Salchicha Pechuga De Pollo,Salchicha Pechuga De Pollo,128.888888888889,17,0.6,6.4,0,,b,"['en:fish-meat-eggs', 'en:processed-meat']"
Queso Crema,Queso Crema,273,5.5,2.1,27,,4,d,"['en:milk-and-dairy-products', 'en:cheese']"
Tostadas Multicereales,Tostadas Multicereales,378.571428571429,8.92857142857143,82.1428571428571,1.78571428571429,1.07142857142857,3,c,"['en:cereals-and-potatoes', 'en:bread']"
Salsa de tomate,Salsa de tomate,100,0,26.6666666666667,0,0,4,d,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
Pony Malta,Pony Malta,41.6666666666667,0.416666666666667,10.4166666666667,0,0,,not-applicable,"['en:beverages', 'en:plant-based-milk-substitutes']"
Bretaña,Bretaña,0,0,0,0,0,1,b,"['en:beverages', 'en:unsweetened-beverages']"
Leche Entera,Leche Entera,58.3333333333333,2.91666666666667,4.58333333333333,2.91666666666667,0,,c,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Harina La Nieve,Harina La Nieve,340,13,68,1,4,,a,"['en:cereals-and-potatoes', 'en:cereals']"
Café Instantáneo,Café Instantáneo,,,,,,1,unknown,[]
Natri crema de almendras,Natri crema de almendras,,,,,,,unknown,[]
,,,,,,,,unknown,[]
Leche Descremada Deslactosada,Leche Descremada Deslactosada,32,3.1,4.9,0,,4,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Natri Stevia,Natri Stevia,360,0,1,0,0,4,not-applicable,[]
Yogurt Griego,Yogurt Griego,77.3333333333333,8,4.53333333333333,2.93333333333333,0,4,a,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Festival,,470,5.2,78,16,3.2,,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Fuze Tea Limón Sin Calorías,Fuze Tea Limón Sin Calorías,0,0,0.25,0,,,b,"['en:beverages', 'en:teas-and-herbal-teas-and-coffees']"
Crema de Maní,Crema de Maní,630.769230769231,24.2307692307692,21.1538461538462,50,8.46153846153846,4,a,"['en:cereals-and-potatoes', 'en:legumes']"
crachos tortillas de harina,crachos tortillas de harina,290,8.33333333333333,53.3333333333333,6.33333333333333,6.66666666666667,,c,"['en:cereals-and-potatoes', 'en:cereals']"
Pony Malta,Pony Malta,41.6666666666667,0.416666666666667,10.4166666666667,0,0,4,e,"['en:beverages', 'en:sweetened-beverages']"
Gansito,Gansito,443.243243243243,5.94594594594595,54.0540540540541,22.7027027027027,2.97297297297297,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Pistachos Salados,Pistachos Salados,600,20,26.6666666666667,46.6666666666667,10,,c,"['en:salty-snacks', 'en:nuts']"
Suero Rehidratante,,,,,,,,unknown,[]
Yogur Griego Sin Dulce,Yogur Griego Sin Dulce,103.703703703704,8.14814814814815,4.37037037037037,5.77777777777778,,1,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Speed Max,Speed Max,24,0.4,6.4,0,,4,d,"['en:beverages', 'en:sweetened-beverages']"
Quesito,Quesito,166.666666666667,10,6.66666666666667,11.6666666666667,0,3,d,"['en:milk-and-dairy-products', 'en:cheese']"
Bebidas de Almendras Sin Azúcar Añadida,Bebidas de Almendras Sin Azúcar Añadida,13,0.4,0,1.3,0,,e,"['en:beverages', 'en:plant-based-milk-substitutes']"
maní con sal. La especial,maní con sal. La especial,649,28,15,53,9.4,,c,"['en:salty-snacks', 'en:nuts']"
Salsa de Tomate,Salsa de Tomate,166.66666666667,0,39.333333333333,0,0,4,d,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
noel wafers,noel wafers,,,,,,,unknown,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Te helado frutos rojos,Te helado frutos rojos,,,,,,,unknown,"['en:beverages', 'en:teas-and-herbal-teas-and-coffees']"
Nestum trigo miel x 200 gr,Nestum trigo miel x 200 gr,113,2.2,17,4,0,4,c,[]
Cheetos Horneados Boliqueso,,545,4.7,58,33,3.7,,unknown,[]
Tortillinas,Tortillinas,293.333333333333,9,56.6666666666667,4.33333333333333,3.33333333333333,4,c,"['en:cereals-and-potatoes', 'en:cereals']"
Coca-Cola Cero,Coca-Cola Cero,0,0,0,0,0,,b,"['en:beverages', 'en:sweetened-beverages']"
Latti Leche Semidescremada Deslactosada,Latti Leche Semidescremada Deslactosada,47.5,3.2,4.9,1.7,0,4,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Salsa de queso cheddar,Salsa de queso cheddar,168,3.6,11,12,0,4,d,[]
Monticello Aceite de Oliva Extra Virgen,Monticello Aceite de Oliva Extra Virgen,810,0,0,90,0,2,b,"['en:fats-and-sauces', 'en:fats']"
Arroz a chocolatada - Fiocco,,36.25,0.53125,8.125,0.28125,0.46875,,unknown,[]
Topping Mediterraneo,Topping Mediterraneo,446.666666666667,25.3333333333333,22.6666666666667,30.3333333333333,12,4,a,"['en:fruits-and-vegetables', 'en:dried-fruits']"
Jamon De Pavo,Jamon De Pavo,80,14,6.1,0,,4,unknown,"['en:fish-meat-eggs', 'en:meat', 'en:poultry']"
Aceite de soya vegetal,GALLİNA,,,,,,2,unknown,"['en:fats-and-sauces', 'en:fats']"
Chocolate,Chocolate,461.165048543689,7.28155339805825,63.1067961165049,19.4174757281553,4.85436893203883,4,d,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Atun en agua,Atun en agua,111.538461538462,26.9230769230769,0,0.384615384615385,0,,unknown,[]
Eran dolce,Eran dolce,,,,,,3,unknown,[]
Miel,Miel,441,10,77,10,3.4,4,d,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
,,,,,,,,unknown,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Tostadas de Maíz,Tostadas de Maíz,375,6.07142857142857,85.7142857142857,0,8.92857142857143,1,b,"['en:cereals-and-potatoes', 'en:bread']"
Tortillas,Tortillas,293.333333333333,9.66666666666667,53.3333333333333,6,2.33333333333333,,d,"['en:cereals-and-potatoes', 'en:bread']"
Arándanos Deshidratados,,320,0,83.3333333333333,0.666666666666667,,,unknown,"['en:fruits-and-vegetables', 'en:dried-fruits']"
Jugo De Naraja,Jugo De Naraja,23,0.5,11,0,,,unknown,[]
tarrito rojo,Tarrito Rojo,0,0,0,0,,,unknown,[]
Mermelada Amarilla,,,,,,,,unknown,[]
aceite vegetal,,,,,,,,unknown,[]
Leche deslactosada 0% grada,Leche Deslactosada De Fácil Digestión,17.5,1.65,2.45,0,0,,unknown,[]
Tostacos,,504,6.3,68,23,4.9,,unknown,"['en:salty-snacks', 'en:appetizers']"
Vinagre Balsámico Di Modena,Vinagre Balsámico Di Modena,201,0.6,45,0,0.5,2,not-applicable,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
7622201711726,7622201711726,,,,,,,unknown,[]
Nucita wafer de avellana,,483,3.5,73,19,3.4,4,e,"['en:sugary-snacks', 'en:sweets']"
Mantequilla,,,,,,,,unknown,[]
Müsli,,371.052631578947,7.89473684210526,78.9473684210526,2.10526315789474,10,,unknown,[]
talcos para pies,,,,,,,,unknown,[]
Coca zero,,0,,,,,,unknown,[]
Jugo De mandarina,Jugo De mandarina,32,0.55,7.5,0,0,1,b,"['en:beverages', 'en:unsweetened-beverages']"
Gelatina sabor a fresa,,10,1.6,0.9,0,0,,a,[]
Lentejas,Lentejas,313.333333333333,23.3333333333333,65,0.666666666666667,23.3333333333333,,unknown,[]
Leche Entera Descremada,,31,3,4.5,0.2,0,4,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Enjuague bucal,,,,,,,,unknown,[]
vitamina c,,,,,,,,unknown,[]
nixoderm,,,,,,,,unknown,[]
